#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	87	329	+	KDBBKD_00005		Xanthine-guanine phosphoribosyltransferase	EC:2.4.2.22, KEGG:K00769, SO:0001217, UniRef:UniRef50_A0A379TF54, UniRef:UniRef90_A0A379TF54
contig_1	cds	421	1665	+	KDBBKD_00010	frsA	esterase FrsA	COG:COG0412, COG:Q, EC:3.1.-.-, EC:3.1.1.1, GO:0080030, KEGG:K11750, RefSeq:WP_000189532.1, SO:0001217, UniParc:UPI000013A07B, UniRef:UniRef100_C4ZT96, UniRef:UniRef50_Q6D1I1, UniRef:UniRef90_Q8X7N7
contig_1	cds	1723	2124	+	KDBBKD_00015	crl	sigma factor-binding protein Crl	GO:0005737, GO:0045893, KEGG:K11926, RefSeq:WP_000174689.1, SO:0001217, UniParc:UPI0000168012, UniRef:UniRef100_C4ZT97, UniRef:UniRef50_Q8X7N6, UniRef:UniRef90_Q8X7N6
contig_1	cds	2163	3218	-	KDBBKD_00020	phoE	phosphoporin PhoE	COG:COG3203, COG:M, GO:0009279, GO:0015288, GO:0034220, GO:0046930, RefSeq:WP_000749863.1, SO:0001217, UniParc:UPI00001319BB, UniRef:UniRef100_P02932, UniRef:UniRef50_P02932, UniRef:UniRef90_P02932
contig_1	cds	3506	4609	+	KDBBKD_00025	proB	Glutamate 5-kinase	COG:COG0263, COG:E, EC:2.7.2.11, GO:0003723, GO:0004349, GO:0005524, GO:0005737, GO:0016310, GO:0055129, RefSeq:WP_001285288.1, SO:0001217, UniParc:UPI000003EB07, UniRef:UniRef100_A7ZI01, UniRef:UniRef50_P17856, UniRef:UniRef90_A8AKP5
contig_1	cds	4621	5874	+	KDBBKD_00030	proA	glutamate-5-semialdehyde dehydrogenase	COG:COG0014, COG:E, EC:1.2.1.41, GO:0004350, GO:0005737, GO:0050661, GO:0055129, KEGG:K00147, RefSeq:WP_000893278.1, SO:0001217, UniParc:UPI000003EB08, UniRef:UniRef100_C4ZTA0, UniRef:UniRef50_A5F602, UniRef:UniRef90_A8AKP4
contig_1	tRNA	5989	6064	+	KDBBKD_00035	Thr_trna	tRNA-Thr(cgt)	SO:0000270
contig_1	cds	6226	6330	-	KDBBKD_00040		hypothetical protein	SO:0001217, UniParc:UPI0001B88FC8, UniRef:UniRef100_A0A2X6P2F1, UniRef:UniRef50_A0A2X6P2F1, UniRef:UniRef90_A0A2X6P2F1
contig_1	cds	6446	6787	-	KDBBKD_00045	ykfI	type IV toxin-antitoxin system toxin YkfI	GO:0030308, RefSeq:WP_000854672.1, SO:0001217, UniParc:UPI000013B6D7, UniRef:UniRef100_P77692, UniRef:UniRef50_P77692, UniRef:UniRef90_P77692
contig_1	cds	6808	7125	-	KDBBKD_00050	yafW	type IV toxin-antitoxin system antitoxin YafW	GO:0051495, RefSeq:WP_000070395.1, SO:0001217, UniParc:UPI000013A08E, UniRef:UniRef100_Q47684, UniRef:UniRef50_Q47684, UniRef:UniRef90_Q47684
contig_1	cds	7144	7365	-	KDBBKD_00055	ykfH	Uncharacterized protein YkfH	RefSeq:WP_000691994.1, SO:0001217, UniParc:UPI000013B6D6, UniRef:UniRef100_Q9XB42, UniRef:UniRef50_Q9XB42, UniRef:UniRef90_Q9XB42
contig_1	cds	7374	7850	-	KDBBKD_00060	ykfG	UPF0758 protein YkfG	COG:COG2003, COG:L, GO:0006508, GO:0006974, GO:0008237, GO:0046872, RefSeq:WP_000811693.1, SO:0001217, UniParc:UPI000013B6D5, UniRef:UniRef100_Q47685, UniRef:UniRef50_Q47685, UniRef:UniRef90_Q47685
contig_1	cds	7866	8324	-	KDBBKD_00065	yafX	Uncharacterized protein YafX	RefSeq:WP_000211838.1, SO:0001217, UniParc:UPI000013A08F, UniRef:UniRef100_P75676, UniRef:UniRef50_P75676, UniRef:UniRef90_P75676
contig_1	cds	8422	8661	-	KDBBKD_00070	ykfF	UPF0401 protein YkfF	RefSeq:WP_000194654.1, SO:0001217, UniParc:UPI000013B6D4, UniRef:UniRef100_P75677, UniRef:UniRef50_P58095, UniRef:UniRef90_P75677
contig_1	cds	8738	9205	-	KDBBKD_00075	ykfB	Uncharacterized protein YkfB	RefSeq:WP_001547765.1, SO:0001217, UniParc:UPI000013B6D2, UniRef:UniRef100_P77162, UniRef:UniRef50_P77162, UniRef:UniRef90_P77162
contig_1	cds	9228	10085	-	KDBBKD_00080		hypothetical protein	PFAM:PF05225.19, PFAM:PF08220.15, PFAM:PF20494.1
contig_1	cds	10302	11123	-	KDBBKD_00085	yafZ	UPF0380 protein YafZ	RefSeq:WP_000197389.1, SO:0001217, UniParc:UPI000013A091, UniRef:UniRef100_P77206, UniRef:UniRef50_P77206, UniRef:UniRef90_P77206
contig_1	cds	11215	12078	-	KDBBKD_00090	ykfA	Uncharacterized protein YkfA	COG:COG3596, COG:R, GO:0002098, GO:0005525, GO:0005737, GO:0005829, GO:0030488, RefSeq:WP_001065553.1, SO:0001217, UniParc:UPI000013B6D0, UniRef:UniRef100_P75678, UniRef:UniRef50_P52131, UniRef:UniRef90_P75678
contig_1	cds	12407	13300	-	KDBBKD_00095	perR	HTH-type transcriptional regulator PerR	COG:COG0583, COG:K, GO:0003700, GO:0006351, GO:0042802, GO:0043565, KEGG:K03566, RefSeq:WP_000770246.1, SO:0001217, UniParc:UPI0000131638, UniRef:UniRef100_Q57083, UniRef:UniRef50_Q57083, UniRef:UniRef90_Q57083
contig_1	cds	13396	13764	+	KDBBKD_00100	insN1	Putative transposase InsN for insertion sequence element IS911A	GO:0003677, GO:0004803, GO:0006313, RefSeq:WP_000747092.1, SO:0001217, UniParc:UPI000016F59A, UniRef:UniRef100_P75679, UniRef:UniRef50_P75679, UniRef:UniRef90_P75679
contig_1	cds	13721	14872	+	KDBBKD_00105		IS30-like element IS30 family transposase	EC:2.7.7.-, GO:0004803, GO:0006313, GO:0015074, GO:0032135, GO:0032196, GO:0032993, GO:0043565, RefSeq:WP_001254938.1, SO:0001217, UniParc:UPI0000168015, UniRef:UniRef100_P0CF88, UniRef:UniRef50_P0CF88, UniRef:UniRef90_P0CF88
contig_1	cds	15134	15373	+	KDBBKD_00110	insO1	Putative transposase InsO for insertion sequence element IS911A	GO:0032196, SO:0001217, UniParc:UPI00023220E9, UniRef:UniRef100_P75680, UniRef:UniRef50_P75680, UniRef:UniRef90_P75680
contig_1	cds	15965	17110	+	KDBBKD_00115	ykfC	Protein YkfC	COG:COG3344, COG:X, RefSeq:WP_001350482.1, SO:0001217, UniParc:UPI00005288C6, UniRef:UniRef100_Q47688, UniRef:UniRef50_Q47688, UniRef:UniRef90_Q47688
contig_1	cds	17219	18199	-	KDBBKD_00120		IS5-like element IS5 family transposase	GO:0003677, GO:0004803, GO:0006313, RefSeq:WP_000019403.1, SO:0001217, UniParc:UPI000009AF5B, UniRef:UniRef100_P0CE57, UniRef:UniRef50_P0CE53, UniRef:UniRef90_P0CE53
contig_1	cds	18277	18366	+	KDBBKD_00125		hypothetical protein	SO:0001217, UniParc:UPI0002412F15, UniRef:UniRef100_A0A1K0JCM3, UniRef:UniRef50_R8WYK4, UniRef:UniRef90_R8WYK4
contig_1	cds	18419	19846	+	KDBBKD_00130	mmuP	S-methylmethionine permease	COG:COG0833, COG:E, GO:0000100, GO:0003333, GO:0005886, GO:0009086, GO:0015171, GO:0015806, GO:0016021, SO:0001217, UniRef:UniRef50_Q47689, UniRef:UniRef90_Q47689
contig_1	cds	19833	20765	+	KDBBKD_00135	mmuM	homocysteine S-methyltransferase	COG:COG2040, COG:E, EC:2.1.1.10, GO:0006974, GO:0008270, GO:0008898, GO:0009086, GO:0032259, GO:0033477, GO:0033528, GO:0047150, GO:0061627, RefSeq:WP_000081352.1, SO:0001217, UniParc:UPI000012F298, UniRef:UniRef100_Q47690, UniRef:UniRef50_Q47690, UniRef:UniRef90_Q47690
contig_1	cds	20874	21920	-	KDBBKD_00140	fbpC	ferric ABC transporter ATP-binding protein	COG:COG3842, COG:E, EC:7.2.2.7, GO:0005524, GO:0005886, GO:0015408, GO:0022857, GO:0043190, GO:0055072, GO:0055085, RefSeq:WP_000192349.1, SO:0001217, UniParc:UPI000012567F, UniRef:UniRef100_P37009, UniRef:UniRef50_P37009, UniRef:UniRef90_P37009
contig_1	cds	21932	22294	-	KDBBKD_00145	afuB	Putative ferric transport system permease-like protein AfuB	GO:0005886, GO:0016021, GO:0055085, RefSeq:WP_001295711.1, SO:0001217, UniParc:UPI0000168018, UniRef:UniRef100_P75681, UniRef:UniRef50_P75681, UniRef:UniRef90_P75681
contig_1	cds	22296	22673	-	KDBBKD_00150	tnp-IS1	IS1 family transposase	GO:0006313, SO:0001217, UniParc:UPI0001E6FCD5, UniRef:UniRef100_A0A0E3ZPH9, UniRef:UniRef50_P57998, UniRef:UniRef90_P0C652
contig_1	cds	22718	22993	-	KDBBKD_00155	tnp-IS1B	IS1 family IS1B transposase	GO:0006313, RefSeq:WP_000179210.1, SO:0001217, UniParc:UPI0000003DD5, UniRef:UniRef100_P0CF06, UniRef:UniRef50_P0CF06, UniRef:UniRef90_P0CF06
contig_1	cds	23142	23480	-	KDBBKD_00160	ykgN	Putative transposase YkgN	GO:0003677, GO:0004803, GO:0006313, SO:0001217, UniParc:UPI00000B7356, UniRef:UniRef100_Q79E92, UniRef:UniRef50_Q79E92, UniRef:UniRef90_Q79E92
contig_1	cds	23503	23853	-	KDBBKD_00165	yagB	type IV toxin-antitoxin system antitoxin YagB	GO:0051495, RefSeq:WP_001030800.1, SO:0001217, UniParc:UPI000013A09F, UniRef:UniRef100_P37008, UniRef:UniRef50_P52141, UniRef:UniRef90_P37008
contig_1	cds	23947	25089	-	KDBBKD_00170		IS481-like element ISEc19 family transposase	COG:COG2801, COG:X, GO:0003676, GO:0005829, GO:0015074, SO:0001217, UniParc:UPI0001B88FC6, UniRef:UniRef100_P37007, UniRef:UniRef50_P37007, UniRef:UniRef90_P37007
contig_1	cds	25396	26304	+	KDBBKD_00175	yagE	2-keto-3-deoxygluconate aldolase	COG:COG0329, COG:EM, EC:4.1.2.28, EC:4.1.2.51, GO:0005829, GO:0042802, GO:0046176, GO:0047440, GO:0061677, KEGG:K22397, RefSeq:WP_001136613.1, SO:0001217, UniParc:UPI0001B88FC5, UniRef:UniRef100_P75682, UniRef:UniRef50_P75682, UniRef:UniRef90_P75682
contig_1	cds	26319	28286	+	KDBBKD_00180	yagF	xylonate dehydratase YagF	COG:COG0129, COG:EG, EC:4.2.1.82, GO:0005829, GO:0016836, GO:0046176, GO:0050401, KEGG:K22396, RefSeq:WP_000151261.1, SO:0001217, UniParc:UPI000013A0A5, UniRef:UniRef100_P77596, UniRef:UniRef50_P39358, UniRef:UniRef90_P77596
contig_1	cds	28513	29895	+	KDBBKD_00185	yagG	Putative glycoside/cation symporter YagG	COG:COG2211, COG:G, GO:0005886, GO:0005887, GO:0006814, GO:0008643, GO:0015293, GO:0071702, RefSeq:WP_000192863.1, SO:0001217, UniParc:UPI000003EB70, UniRef:UniRef100_P75683, UniRef:UniRef50_P75683, UniRef:UniRef90_P75683
contig_1	cds	29907	31517	+	KDBBKD_00190	yagH	Putative beta-xylosidase	COG:COG3507, COG:G, EC:3.2.1.37, GO:0009044, GO:0045493, RefSeq:WP_000406871.1, SO:0001217, UniParc:UPI000003EB71, UniRef:UniRef100_P77713, UniRef:UniRef50_P07129, UniRef:UniRef90_P77713
contig_1	cds	31522	32280	-	KDBBKD_00195	xynR	DNA-binding transcriptional repressor XynR	COG:COG1414, COG:K, GO:0000976, GO:0003677, GO:0003700, GO:0044010, GO:0045892, RefSeq:WP_001121657.1, SO:0001217, UniParc:UPI000013A0A8, UniRef:UniRef100_P77300, UniRef:UniRef50_P77300, UniRef:UniRef90_P77300
contig_1	cds	32419	33423	-	KDBBKD_00200	argF	ornithine carbamoyltransferase	COG:COG0078, COG:E, EC:2.1.3.3, GO:0004585, GO:0006974, GO:0009348, GO:0016597, GO:0019240, GO:0042450, GO:0046872, KEGG:K00611, RefSeq:WP_001281825.1, SO:0001217, UniParc:UPI000016801A, UniRef:UniRef100_P06960, UniRef:UniRef50_P04391, UniRef:UniRef90_P06960
contig_1	cds	33767	34144	-	KDBBKD_00205	tnp-IS1	IS1 family transposase	GO:0006313, SO:0001217, UniParc:UPI0001E6FCD5, UniRef:UniRef100_A0A0E3ZPH9, UniRef:UniRef50_P57998, UniRef:UniRef90_P0C652
contig_1	cds	34189	34464	-	KDBBKD_00210	tnp-IS1B	IS1 family IS1B transposase	GO:0006313, RefSeq:WP_000179210.1, SO:0001217, UniParc:UPI0000003DD5, UniRef:UniRef100_P0CF06, UniRef:UniRef50_P0CF06, UniRef:UniRef90_P0CF06
contig_1	cds	34618	35349	+	KDBBKD_00215	yagJ	Protein YagJ	GO:0010165, RefSeq:WP_000388269.1, SO:0001217, UniParc:UPI000013A0A9, UniRef:UniRef100_P77169, UniRef:UniRef50_P77169, UniRef:UniRef90_P77169
contig_1	cds	35440	36066	-	KDBBKD_00220	yagK	Uncharacterized protein YagK	RefSeq:WP_000860996.1, SO:0001217, UniParc:UPI000013A0AA, UniRef:UniRef100_P77657, UniRef:UniRef50_P77657, UniRef:UniRef90_P77657
contig_1	cds	36338	37036	-	KDBBKD_00225	yagL	Uncharacterized protein YagL	COG:COG1961, COG:L, GO:0000150, GO:0003677, RefSeq:WP_001214248.1, SO:0001217, UniParc:UPI000013A0AB, UniRef:UniRef100_P77607, UniRef:UniRef50_P77607, UniRef:UniRef90_P77607
contig_1	cds	37063	37917	-	KDBBKD_00230	yagM	Uncharacterized protein YagM	RefSeq:WP_000072039.1, SO:0001217, UniParc:UPI000013A0AC, UniRef:UniRef100_P71296, UniRef:UniRef50_P71296, UniRef:UniRef90_P71296
contig_1	cds	38036	38260	-	KDBBKD_00235	ykgV	Protein YkgV	RefSeq:WP_001272156.1, SO:0001217, UniParc:UPI0001DE566D, UniRef:UniRef100_P0DPM9, UniRef:UniRef50_P0DPM9, UniRef:UniRef90_P0DPM9
contig_1	cds	38257	38697	-	KDBBKD_00240	yagN	Uncharacterized protein YagN	RefSeq:WP_000224818.1, SO:0001217, UniParc:UPI000013A0AD, UniRef:UniRef100_P71297, UniRef:UniRef50_P71297, UniRef:UniRef90_P71297
contig_1	cds	38814	40139	-	KDBBKD_00245	intF	Prophage integrase IntF	COG:COG4973, COG:L, GO:0003677, GO:0006310, GO:0010165, GO:0015074, GO:0044826, GO:0046718, GO:0075713, SO:0001217, UniParc:UPI0001B88FB9, UniRef:UniRef100_P71298, UniRef:UniRef50_P71298, UniRef:UniRef90_P71298
contig_1	tRNA	40302	40372	+	KDBBKD_00250	Thr_trna	tRNA-Thr(cgt)	SO:0000270
contig_1	cds	40499	40909	-	KDBBKD_00255	yagP	Putative LysR family substrate binding domain-containing protein YagP	COG:COG0583, COG:K, RefSeq:WP_001111342.1, SO:0001217, UniParc:UPI000013A0AE, UniRef:UniRef100_P75684, UniRef:UniRef50_P75684, UniRef:UniRef90_P75684
contig_1	cds	40888	41844	-	KDBBKD_00260	paoD	molybdenum cofactor insertion chaperone PaoD	COG:COG1975, COG:O, GO:0043546, KEGG:K07402, RefSeq:WP_000121359.1, SO:0001217, UniParc:UPI000013A0AF, UniRef:UniRef100_P77183, UniRef:UniRef50_P77183, UniRef:UniRef90_P77183
contig_1	cds	41854	44052	-	KDBBKD_00265	paoC	aldehyde oxidoreductase molybdenum-binding subunit PaoC	COG:C, COG:COG1529, EC:1.2.99.6, GO:0005506, GO:0006974, GO:0016491, GO:0016903, GO:0019439, GO:0030151, GO:0042597, GO:0047770, GO:0110095, GO:1990204, RefSeq:WP_000667026.1, SO:0001217, UniParc:UPI000013A0B1, UniRef:UniRef100_P77489, UniRef:UniRef50_P77489, UniRef:UniRef90_P77489
contig_1	cds	44049	45005	-	KDBBKD_00270	paoB	aldehyde oxidoreductase FAD-binding subunit PaoB	COG:C, COG:COG1319, EC:1.2.99.6, GO:0016903, GO:0019439, GO:0042597, GO:0046872, GO:0047770, GO:0050660, GO:0051539, GO:0071949, GO:0110095, GO:1990204, RefSeq:WP_000643333.1, SO:0001217, UniParc:UPI000013A0B3, UniRef:UniRef100_P77324, UniRef:UniRef50_P77324, UniRef:UniRef90_P77324
contig_1	cds	45002	45691	-	KDBBKD_00275	paoA	aldehyde dehydrogenase iron-sulfur subunit	COG:C, COG:COG2080, EC:1.2.99.6, GO:0042597, GO:0046872, GO:0047770, GO:0051537, KEGG:K13483, RefSeq:WP_000070700.1, SO:0001217, UniParc:UPI000013A0B5, UniRef:UniRef100_P77165, UniRef:UniRef50_P77165, UniRef:UniRef90_P77165
contig_1	cds	46109	46723	+	KDBBKD_00280	yagU	Inner membrane protein YagU	COG:COG3477, COG:S, GO:0005886, GO:0010447, GO:0016021, KEGG:K08996, RefSeq:WP_001019920.1, SO:0001217, UniParc:UPI000013A0B6, UniRef:UniRef100_P0AAA2, UniRef:UniRef50_P0AAA2, UniRef:UniRef90_P0AAA2
contig_1	ncRNA	46729	46928	+	KDBBKD_00285	IS009	IS009	RFAM:RF02111, SO:0000655
contig_1	cds	47613	48323	-	KDBBKD_00290	ecpE	fimbrial chaperone EcpE	RefSeq:WP_001350485.1, SO:0001217, UniParc:UPI000013A0B7, UniRef:UniRef100_P77263, UniRef:UniRef50_D5CVJ6, UniRef:UniRef90_D5CVJ6
contig_1	cds	48292	49935	-	KDBBKD_00295	ecpD	fimbrial adhesin EcpD	GO:0009289, RefSeq:WP_001310578.1, SO:0001217, UniParc:UPI000013A0B8, UniRef:UniRef100_P77694, UniRef:UniRef50_B7UJD8, UniRef:UniRef90_B7UJD8
contig_1	cds	49925	52450	-	KDBBKD_00300	ecpC	fimbrial usher EcpC	COG:COG3188, COG:NW, RefSeq:WP_001131096.1, SO:0001217, UniParc:UPI000013A0B9, UniRef:UniRef100_P77802, UniRef:UniRef50_D5CVJ8, UniRef:UniRef90_D5CVJ8
contig_1	cds	52476	53144	-	KDBBKD_00305	ecpB	fimbrial chaperone EcpB	RefSeq:WP_000716398.1, SO:0001217, UniParc:UPI000013A0BA, UniRef:UniRef100_A7ZI26, UniRef:UniRef50_D5CVJ9, UniRef:UniRef90_D5CVJ9
