# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_2	cds	456	1172	+	AJMLCG_00001	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P69856
contig_2	cds	1192	2298	+	AJMLCG_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39371
contig_2	cds	2363	3343	+	AJMLCG_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39370
contig_2	cds	3926	4942	-	AJMLCG_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39369
contig_2	cds	5904	6161	+	AJMLCG_00005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q2EEU2
contig_2	cds	6173	6718	+	AJMLCG_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39368
contig_2	cds	6774	7520	+	AJMLCG_00007	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39367
contig_2	cds	8306	9427	+	AJMLCG_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39366
contig_2	cds	9424	9702	+	AJMLCG_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P58035
contig_2	cds	9714	11027	+	AJMLCG_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39365
contig_2	cds	11040	11846	+	AJMLCG_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39364
contig_2	cds	11977	12408	+	AJMLCG_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39363
contig_2	cds	12420	13052	+	AJMLCG_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39362
contig_2	cds	13069	13851	+	AJMLCG_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39361
contig_2	cds	14154	14942	+	AJMLCG_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39360
contig_2	cds	14893	15852	+	AJMLCG_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J8Y3K4
contig_2	cds	15863	17830	+	AJMLCG_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39358
contig_2	cds	17937	19286	+	AJMLCG_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39357
contig_2	cds	19633	20619	+	AJMLCG_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39356
contig_2	cds	20733	20942	-	AJMLCG_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_W8SSS5
contig_2	sorf	21517	21585	-	AJMLCG_00021	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0DSH9
contig_2	cds	21722	22243	+	AJMLCG_00022	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P23484
contig_2	cds	22240	23193	+	AJMLCG_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P23485
contig_2	cds	23280	25604	+	AJMLCG_00024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P13036
contig_2	cds	25649	26551	+	AJMLCG_00025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P15028
contig_2	cds	26548	27546	+	AJMLCG_00026	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P15030
contig_2	cds	27543	28499	+	AJMLCG_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P15029
contig_2	cds	28500	29267	+	AJMLCG_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P15031
contig_2	cds	29824	30081	-	AJMLCG_00029	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_W8T3K5
contig_2	cds	30164	30406	-	AJMLCG_00030	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0D6HSB6
contig_2	cds	30403	30816	-	AJMLCG_00031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q47718
contig_2	cds	31015	31383	+	AJMLCG_00032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2S5ZSB5
